C_ID,C_UPDATETIME,C_UPDATEUSER,C_CREATEUSER,C_CREATETIME,C_SC_MNEMONIC,S_LOCK_COUNTER,C_GEOREFERENCSTA,C_GEOREFERENCQLT,C_ADDRESS_STREET,C_ADDRESS_HOUSEN,C_ADDRESS_CITYDI,C_ADDRESS_CITY,C_ADDRESS_ZIPCOD,C_ADDRESS_COUNTR,C_ADDRESS_COORDX,C_ADDRESS_COORDY,C_ADDRESS_COORDT,C_ADDRESS_CO_INN,C_ADDRESS_INN,C_GEOCODED_STREE,C_GEOCODED_HOUSE,C_GEOCODED_CITYD,C_GEOCODED_CITY,C_GEOCODED_ZIPCO,C_GEOCODED_COUNT,C_GEOCODED_COORX,C_GEOCODED_COORY,C_GEOCODED_COORT,C_GEOCODED_COINN,C_GEOCODED_ISNOT,C_IMPORTED_STREE,C_IMPORTED_HOUSE,C_IMPORTED_CITYD,C_IMPORTED_CITY,C_IMPORTED_ZIPCO,C_IMPORTED_COUNT,C_IMPORTED_COORX,C_IMPORTED_COORY,C_IMPORTED_COORT,C_IMPORTED_COINN,C_IMPORTED_INN,C_GEOREFERENCLVL
384817ac353eeccb0000011b6ed7a09a00cd,2008-07-29 14:42:50,GK,GK,2008-07-29 14:42:50,LOGOTAKT,1,1,,,,,Waldshut,,CH,822060,4762108,2,1,1,,,,,,,,,,,,,,,Waldshut,,CH,822060,4762108,2,1,1,
384817ac353eeccb0000011b6ed7a2fb00ce,2008-07-29 14:42:50,GK,GK,2008-07-29 14:42:50,LOGOTAKT,1,1,,,,,Eglisau,,CH,851576,4757253,2,1,1,,,,,,,,,,,,,,,Eglisau,,CH,851576,4757253,2,1,1,
384817ac353eeccb0000011b6ed7a5f900cf,2008-07-29 14:42:51,GK,GK,2008-07-29 14:42:51,LOGOTAKT,1,1,,,,,Stein Säcking,,CH,795240,4754071,2,1,1,,,,,,,,,,,,,,,Stein Säcking,,CH,795240,4754071,2,1,1,
384817ac353eeccb0000011b6ed7a82c00d0,2008-07-29 14:42:52,GK,GK,2008-07-29 14:42:52,LOGOTAKT,1,1,,,,,Linthal,,CH,899575,4692360,2,1,1,,,,,,,,,,,,,,,Linthal,,CH,899575,4692360,2,1,1,
384817ac353eeccb0000011b6ed7ab6800d1,2008-07-29 14:42:53,GK,GK,2008-07-29 14:42:53,LOGOTAKT,1,1,,,,,Klosters,,CH,987521,4688351,2,1,1,,,,,,,,,,,,,,,Klosters,,CH,987521,4688351,2,1,1,
384817ac353eeccb0000011b6ed7ae0800d2,2008-07-29 14:42:53,GK,GK,2008-07-29 14:42:53,LOGOTAKT,1,1,,,,,Sagliains,,CH,1010357,4676503,2,1,1,,,,,,,,,,,,,,,Sagliains,,CH,1010357,4676503,2,1,1,
384817ac353eeccb0000011b6ed7b27c00d3,2008-07-29 14:42:54,GK,GK,2008-07-29 14:42:54,LOGOTAKT,1,1,,,,,Bever,,CH,988838,4654963,2,1,1,,,,,,,,,,,,,,,Bever,,CH,988838,4654963,2,1,1,
384817ac353eeccb0000011b6ed7b55b00d4,2008-07-29 14:42:55,GK,GK,2008-07-29 14:42:55,LOGOTAKT,1,1,,,,,Romanshorn,,CH,937957,4756474,2,1,1,,,,,,,,,,,,,,,Romanshorn,,CH,937957,4756474,2,1,1,
384817ac353eeccb0000011b6ed7b7bc00d5,2008-07-29 14:42:56,GK,GK,2008-07-29 14:42:56,LOGOTAKT,1,1,,,,,Rothrist,,CH,788129,4730709,2,1,1,,,,,,,,,,,,,,,Rothrist,,CH,788129,4730709,2,1,1,
384817ac353eeccb0000011b6ed7ba3d00d6,2008-07-29 14:42:56,GK,GK,2008-07-29 14:42:56,LOGOTAKT,1,1,,,,,Zofing,,CH,794334,4728737,2,1,1,,,,,,,,,,,,,,,Zofing,,CH,794334,4728737,2,1,1,
