customernumber	date	salutation	title	domain	datecreated	newsletter	model	paymenttype	deliverytype	invoicepostcode	delivpostcode	voucher	advertisingdatacode	case	numberitems	gift	entry	points	shippingcosts	deliverydatepromised	deliverydaterea	weight	remi	cancel	used	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	target90
41191	335	0	0	9	335	0	2	2	0	58	$null$	1		2	2	0	1	0	0	335	335	737	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
38860	350	1	0	4	350	0	1	1	1	34	$null$	0		2	2	0	0	0	0	350	350	368	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
61917	231	0	0	12	231	0	1	0	0	51	$null$	0		1	1	0	0	0	1	231	231	47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
40647	167	1	0	8	167	0	1	0	0	25	$null$	0		3	2	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1347	220	0	0	1	220	0	1	1	1	41	$null$	0	BR	4	2	0	0	0	0	220	220	843	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
4686	222	0	0	12	222	0	1	0	0	95	$null$	0	BQ	3	3	0	0	0	1	222	222	1218	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0
28710	355	0	0	12	355	0	3	1	1	78	$null$	0		4	1	0	1	0	0	355	355	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
910	247	0	0	9	247	0	3	1	1	77	$null$	0		4	2	0	1	0	0	247	247	238	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
50115	176	0	0	12	176	0	1	3	0	86	$null$	1		4	4	0	0	0	0	176	176	1577	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
52153	214	0	0	12	214	1	1	0	0	97	$null$	0		4	2	0	0	0	0	214	214	1237	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
6422	354	1	0	9	354	0	2	0	0	58	$null$	0		5	3	0	1	0	0	354	354	1703	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
40264	91	2	0	6	91	1	2	2	0	58	$null$	1		1	2	0	1	0	1	91	91	971	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
48088	255	0	0	4	255	0	2	1	1	50	$null$	0		3	1	0	1	0	0	255	255	508	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12934	126	1	0	6	126	0	2	0	0	40	$null$	0	BQ	4	2	0	1	0	0	126	126	926	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
30281	275	0	0	9	275	0	3	2	0	99	99	0		5	2	0	1	0	0	275	275	267	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
54674	92	2	0	12	92	0	1	3	0	85	$null$	0	BQ	3	2	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
24570	342	0	0	6	342	0	1	0	0	58	$null$	0		3	1	0	0	0	1	342	342	818	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
44942	354	1	0	12	354	0	1	3	0	88	$null$	0		3	1	0	0	0	0	354	354	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
38706	322	1	0	8	322	0	1	0	0	17	$null$	0		1	1	0	0	0	0	322	322	457	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
36886	196	0	0	8	196	0	1	0	0	70	$null$	0		2	1	0	0	0	1	196	196	224	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
59933	276	0	0	1	276	1	3	3	0	30	$null$	0		5	4	0	1	0	0	276	276	2046	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
25204	293	0	0	1	293	0	3	1	1	68	$null$	0		3	1	0	1	0	0	293	293	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7014	331	2	0	8	331	0	1	0	0	15	$null$	0		5	1	0	0	0	0	331	331	555	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
4444	364	0	0	9	364	0	3	0	0	12	$null$	0		3	3	0	1	0	0	364	364	1162	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
60939	103	1	0	12	103	0	1	2	0	63	$null$	0		3	3	0	0	0	0	103	103	749	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
27592	115	2	0	12	115	0	3	0	0	18	$null$	0		4	1	0	1	0	0	115	115	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
