"C_ID"|"C_ID"|"C_ACTUALARRIVAL"|"C_ACTUALDEPARTURE"
"73f316ac79c18950000001288d33a0d00015"|"73f316ac79c18950000001288d33a0c00014"|10.04.10 04:33:42,000000000|10.04.10 02:26:51,000000000
"73f316ac79c18950000001288d261c5d0032"|"73f316ac79c18950000001288d261c4d0031"|30.03.10 01:50:02,000000000|30.03.10 00:00:00,000000000
"73f316ac79c18950000001288d261c6c0033"|"73f316ac79c18950000001288d261c5d0032"|30.03.10 04:14:59,000000000|30.03.10 02:40:02,000000000
"73f316ac79c18950000001288d261c7c0034"|"73f316ac79c18950000001288d261c6c0033"|30.03.10 05:08:33,000000000|30.03.10 04:34:59,000000000
"73f316ac79c18950000001288d26fcf90036"|"73f316ac79c18950000001288d26fce90035"|30.03.10 07:06:12,000000000|30.03.10 05:08:33,000000000
"73f316ac79c18950000001288d26fd180037"|"73f316ac79c18950000001288d26fcf90036"|30.03.10 08:29:52,000000000|30.03.10 07:16:12,000000000
"73f316ac79c18950000001288d26fd270038"|"73f316ac79c18950000001288d26fd180037"|30.03.10 10:37:17,000000000|30.03.10 08:39:52,000000000
"73f316ac79c18950000001288d271708003a"|"73f316ac79c18950000001288d2716f90039"|30.03.10 02:23:21,000000000|30.03.10 00:00:00,000000000
"73f316ac79c18950000001288d271718003b"|"73f316ac79c18950000001288d271708003a"|30.03.10 06:39:48,000000000|30.03.10 04:03:21,000000000
"73f316ac79c18950000001288d271728003c"|"73f316ac79c18950000001288d271718003b"|30.03.10 07:22:55,000000000|30.03.10 07:09:48,000000000
"73f316ac79c18950000001288d2727c2003e"|"73f316ac79c18950000001288d2727b2003d"|31.03.10 01:53:15,000000000|31.03.10 00:00:00,000000000
"73f316ac79c18950000001288d2727e1003f"|"73f316ac79c18950000001288d2727c2003e"|31.03.10 05:51:15,000000000|31.03.10 03:23:15,000000000
"73f316ac79c18950000001288d2727f10040"|"73f316ac79c18950000001288d2727e1003f"|31.03.10 07:04:59,000000000|31.03.10 06:01:15,000000000
"73f316ac79c18950000001288d27361a0042"|"73f316ac79c18950000001288d2735fa0041"|31.03.10 02:06:51,000000000|31.03.10 00:00:00,000000000
"73f316ac79c18950000001288d2736390043"|"73f316ac79c18950000001288d27361a0042"|31.03.10 05:02:13,000000000|31.03.10 02:46:51,000000000
"73f316ac79c18950000001288d2736480044"|"73f316ac79c18950000001288d2736390043"|31.03.10 06:12:59,000000000|31.03.10 05:22:13,000000000
"73f316ac79c18950000001288d2736580045"|"73f316ac79c18950000001288d2736480044"|31.03.10 07:20:06,000000000|31.03.10 06:22:59,000000000
"73f316ac79c18950000001288d2736680046"|"73f316ac79c18950000001288d2736580045"|31.03.10 07:53:28,000000000|31.03.10 07:30:06,000000000
